feature,readme_definition,group,ml_policy,basis,source
HUP,Spec Enthalpy Przr discharge (kJ/kg),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
HLW,Spec Enthalpy RCS leak (kJ/kg),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
WHPI,Flow HPI (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WECS,Flow Total ECCS (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
QMWT,PowerTotal megawatt thermal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LSGA,Level SG A wide range (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LSGB,Level SG B wide range (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QMGA,Power SG A heat removal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QMGB,Power SG B heat removal (MW),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
NSGA,Level SG A narrow range (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
NSGB,Level SG B narrow range (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TBLD,Power Turbine load (%),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WTRA,Flow SG A tube leak (t/hr),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
WTRB,Flow SG B tube leak (t/hr),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
TSAT,Temp Przr saturation (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
QRHR,Power RHR removal rate (MW),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
LVCR,Level Core water (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
SCMA,Temp Loop A subcooling margin (°C),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
SCMB,Temp Loop B subcooling margin (°C),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
FRCL,Fraction Clad failure (%),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
PRB,Press Reactor building (bar),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
PRBA,Press Partial RB air (bar),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
TRB,Temp Reactor building (°C),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
LWRB,Level RB sump water (M),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
DNBR,Ratio Departure from nuclear boiling,safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
QFCL,Power Fan cooler heat removal (MW),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WBK,Flow Total break entering RB (t/hr),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
WSPY,Flow Pressurizer spray (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WCSP,Flow Containment spray (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
HTR,Power Pressurizer heater (KW),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
MH2,Mass H2 generated by Zr-H2O (kg),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
CNH2,Concentration RB hydrogen (%),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
RHBR,Reactivity Soluble boron (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHMT,Reactivity Mod temp (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHFL,Reactivity Fuel (Doppler) (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHRD,Reactivity Rod (%dk/k),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
RH,Reactivity Total (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PWNT,Power Nuclear Flux (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PWR,Power Core thermal (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TFSB,Temp Submerged fuel avg (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TFPK,Temp Peak fuel (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TF,Temp Average fuel (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TPCT,Temp Peak clad (°C),safety_margin_or_consequence,review,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
WCFT,Flow Accumulator (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WLPI,Flow LPSI (RHR) (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WCHG,Flow Charging (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
RM1,Rad Monitor RB air (CPM),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RM2,Rad Monitor Steam Line (CPM),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RM3,Rad Monitor Condenser Off-gas (CPM),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RM4,Rad Monitor Aux Building Air (CPM),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RC87,Activity RC Coolant (CPM),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RC131,Concentration RC I-131 Eq (GBq/cc),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
STRB,Rad Rel Rate RB (GBq/s),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
STSG,Rad Rel Rate SG Valves (GBq/s),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
STTB,Rad Rel Rate Cdsr Off-gas (GBq/s),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
RBLK,Mass Total Leakage out of RB (kg),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
SGLK,Mass Total Leakage out of SGs (kg),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
DTHY,Dose Rate EAB Thyroid (mSv/hr),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
DWB,Dose Rate EAB Whole Body (mSv/hr),radiological_or_dose,exclude,"The README definition is radiation, activity, release, leakage, or external dose.","NPPAD README.md, Table 2 (local copy)"
WRLA,Flow SG A MSV/ADV (t/h),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WRLB,Flow SG B MSV/ADV (t/h),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
WLD,Flow Letdown (t/hr),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
MBK,Integrated Break Flow (kg),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
EBK,Integrated Break Energy (MJ),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
TKLV,Volume RWST Water (M3),protection_or_control_action,exclude,"The README definition names ECCS, HPI, accumulator, charging, relief, spray, heater, turbine, letdown, or another control/action state; exclude from a before-actuation detector.","NPPAD README.md, Table 2 (local copy)"
FRZR,Fraction Zr Oxidation (%),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
TDBR,Temp of Debris in Cavity (°C),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
MDBR,Mass of Corium in DW (Kg),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
MCRT,Mass of molten concrete (Kg),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
MGAS,Mass of CCI gases (Kg),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
TCRT,Temp of Molten Concrete (°C),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
TSLP,Temp of Debris in Lower Plenum (°C),safety_margin_or_consequence,exclude,"The README definition is a safety margin, containment response, fuel/clad damage, hydrogen, debris, oxidation, or severe consequence.","NPPAD README.md, Table 2 (local copy)"
PPM,Concentration RCS Boron (ppm),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCA,Ratio Loop A Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCB,Ratio Loop B Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCO,Ratio Core Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
WFLB,Flow FW Line Break (kg/s),direct_accident_or_leak,exclude,"The README definition names a break, leak, tube leak, or integrated break quantity; treat it as a direct fault label or near-label.","NPPAD README.md, Table 2 (local copy)"
