feature,readme_definition,group,ml_policy,basis,source
NSGA,Level SG A narrow range (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
NSGB,Level SG B narrow range (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TSAT,Temp Przr saturation (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
LVCR,Level Core water (M),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHBR,Reactivity Soluble boron (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHMT,Reactivity Mod temp (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RHFL,Reactivity Fuel (Doppler) (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RH,Reactivity Total (%dk/k),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PWNT,Power Nuclear Flux (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PWR,Power Core thermal (%),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TFSB,Temp Submerged fuel avg (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TFPK,Temp Peak fuel (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
TF,Temp Average fuel (°C),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
PPM,Concentration RCS Boron (ppm),observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCA,Ratio Loop A Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCB,Ratio Loop B Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
RRCO,Ratio Core Flow,observable_process,candidate,"The README definition is a conventional temperature, pressure, level, flow, power, reactivity, or inventory process measurement.","NPPAD README.md, Table 2 (local copy)"
